,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
81,"Wed, Apr 11, 2018",8:00 pm,Denver Nuggets,106.0,Minnesota Timberwolves,112.0,Box Score,OT,18978.0,
82,"Wed, Apr 11, 2018",8:00 pm,San Antonio Spurs,98.0,New Orleans Pelicans,122.0,Box Score,,18573.0,
83,"Wed, Apr 11, 2018",8:00 pm,Memphis Grizzlies,123.0,Oklahoma City Thunder,137.0,Box Score,,18203.0,
84,"Wed, Apr 11, 2018",8:00 pm,Washington Wizards,92.0,Orlando Magic,101.0,Box Score,,17598.0,
85,"Wed, Apr 11, 2018",8:00 pm,Milwaukee Bucks,95.0,Philadelphia 76ers,130.0,Box Score,,20659.0,
86,"Wed, Apr 11, 2018",10:30 pm,Utah Jazz,93.0,Portland Trail Blazers,102.0,Box Score,,20186.0,
87,"Wed, Apr 11, 2018",10:30 pm,Houston Rockets,83.0,Sacramento Kings,96.0,Box Score,,17583.0,
88,Playoffs,,,,,,,,,
89,"Sat, Apr 14, 2018",3:00 pm,San Antonio Spurs,92.0,Golden State Warriors,113.0,Box Score,,19596.0,
90,"Sat, Apr 14, 2018",8:00 pm,Miami Heat,103.0,Philadelphia 76ers,130.0,Box Score,,20617.0,
91,"Sat, Apr 14, 2018",10:30 pm,New Orleans Pelicans,97.0,Portland Trail Blazers,95.0,Box Score,,19882.0,
92,"Sat, Apr 14, 2018",5:30 pm,Washington Wizards,106.0,Toronto Raptors,114.0,Box Score,,19937.0,
93,"Sun, Apr 15, 2018",1:00 pm,Milwaukee Bucks,107.0,Boston Celtics,113.0,Box Score,OT,18624.0,
94,"Sun, Apr 15, 2018",3:30 pm,Indiana Pacers,98.0,Cleveland Cavaliers,80.0,Box Score,,20562.0,
95,"Sun, Apr 15, 2018",9:00 pm,Minnesota Timberwolves,101.0,Houston Rockets,104.0,Box Score,,18055.0,
96,"Sun, Apr 15, 2018",6:30 pm,Utah Jazz,108.0,Oklahoma City Thunder,116.0,Box Score,,18203.0,
97,"Mon, Apr 16, 2018",10:30 pm,San Antonio Spurs,101.0,Golden State Warriors,116.0,Box Score,,19596.0,
98,"Mon, Apr 16, 2018",8:00 pm,Miami Heat,113.0,Philadelphia 76ers,103.0,Box Score,,20753.0,
99,"Tue, Apr 17, 2018",8:00 pm,Milwaukee Bucks,106.0,Boston Celtics,120.0,Box Score,,18624.0,
100,"Tue, Apr 17, 2018",10:30 pm,New Orleans Pelicans,111.0,Portland Trail Blazers,102.0,Box Score,,20066.0,
101,"Tue, Apr 17, 2018",7:00 pm,Washington Wizards,119.0,Toronto Raptors,130.0,Box Score,,20242.0,
102,"Wed, Apr 18, 2018",7:00 pm,Indiana Pacers,97.0,Cleveland Cavaliers,100.0,Box Score,,20562.0,
103,"Wed, Apr 18, 2018",9:30 pm,Minnesota Timberwolves,82.0,Houston Rockets,102.0,Box Score,,18055.0,
104,"Wed, Apr 18, 2018",8:00 pm,Utah Jazz,102.0,Oklahoma City Thunder,95.0,Box Score,,18203.0,
105,"Thu, Apr 19, 2018",7:00 pm,Philadelphia 76ers,128.0,Miami Heat,108.0,Box Score,,19812.0,
106,"Thu, Apr 19, 2018",9:00 pm,Portland Trail Blazers,102.0,New Orleans Pelicans,119.0,Box Score,,18551.0,
107,"Thu, Apr 19, 2018",9:30 pm,Golden State Warriors,110.0,San Antonio Spurs,97.0,Box Score,,18418.0,
108,"Fri, Apr 20, 2018",7:00 pm,Cleveland Cavaliers,90.0,Indiana Pacers,92.0,Box Score,,17923.0,
109,"Fri, Apr 20, 2018",9:30 pm,Boston Celtics,92.0,Milwaukee Bucks,116.0,Box Score,,18717.0,
110,"Fri, Apr 20, 2018",8:00 pm,Toronto Raptors,103.0,Washington Wizards,122.0,Box Score,,20356.0,
111,"Sat, Apr 21, 2018",2:30 pm,Philadelphia 76ers,106.0,Miami Heat,102.0,Box Score,,19804.0,
112,"Sat, Apr 21, 2018",7:30 pm,Houston Rockets,105.0,Minnesota Timberwolves,121.0,Box Score,,18978.0,
113,"Sat, Apr 21, 2018",5:00 pm,Portland Trail Blazers,123.0,New Orleans Pelicans,131.0,Box Score,,18544.0,
114,"Sat, Apr 21, 2018",10:00 pm,Oklahoma City Thunder,102.0,Utah Jazz,115.0,Box Score,,18306.0,
115,"Sun, Apr 22, 2018",8:30 pm,Cleveland Cavaliers,104.0,Indiana Pacers,100.0,Box Score,,17923.0,
116,"Sun, Apr 22, 2018",1:00 pm,Boston Celtics,102.0,Milwaukee Bucks,104.0,Box Score,,18717.0,
117,"Sun, Apr 22, 2018",3:30 pm,Golden State Warriors,90.0,San Antonio Spurs,103.0,Box Score,,18418.0,
118,"Sun, Apr 22, 2018",6:00 pm,Toronto Raptors,98.0,Washington Wizards,106.0,Box Score,,20356.0,
119,"Mon, Apr 23, 2018",8:00 pm,Houston Rockets,119.0,Minnesota Timberwolves,100.0,Box Score,,18978.0,
120,"Mon, Apr 23, 2018",10:30 pm,Oklahoma City Thunder,96.0,Utah Jazz,113.0,Box Score,,18306.0,
121,"Tue, Apr 24, 2018",7:00 pm,Milwaukee Bucks,87.0,Boston Celtics,92.0,Box Score,,18624.0,
122,"Tue, Apr 24, 2018",10:30 pm,San Antonio Spurs,91.0,Golden State Warriors,99.0,Box Score,,19596.0,
123,"Tue, Apr 24, 2018",8:00 pm,Miami Heat,91.0,Philadelphia 76ers,104.0,Box Score,,21171.0,
124,"Wed, Apr 25, 2018",7:00 pm,Indiana Pacers,95.0,Cleveland Cavaliers,98.0,Box Score,,20562.0,
125,"Wed, Apr 25, 2018",9:30 pm,Minnesota Timberwolves,104.0,Houston Rockets,122.0,Box Score,,18055.0,
126,"Wed, Apr 25, 2018",9:30 pm,Utah Jazz,99.0,Oklahoma City Thunder,107.0,Box Score,,18203.0,
127,"Wed, Apr 25, 2018",7:00 pm,Washington Wizards,98.0,Toronto Raptors,108.0,Box Score,,19987.0,
128,"Thu, Apr 26, 2018",8:00 pm,Boston Celtics,86.0,Milwaukee Bucks,97.0,Box Score,,18717.0,
129,"Fri, Apr 27, 2018",8:00 pm,Cleveland Cavaliers,87.0,Indiana Pacers,121.0,Box Score,,17923.0,
130,"Fri, Apr 27, 2018",10:30 pm,Oklahoma City Thunder,91.0,Utah Jazz,96.0,Box Score,,18306.0,
131,"Fri, Apr 27, 2018",7:00 pm,Toronto Raptors,102.0,Washington Wizards,92.0,Box Score,,20356.0,
132,"Sat, Apr 28, 2018",8:00 pm,Milwaukee Bucks,96.0,Boston Celtics,112.0,Box Score,,18624.0,
133,"Sat, Apr 28, 2018",10:30 pm,New Orleans Pelicans,101.0,Golden State Warriors,123.0,Box Score,,19596.0,
